cv_id,account_id,list_id,created_date,updated_date,use_ad,have_mini_cv
10376,18932595,,1/6/2021,1/6/2021,0,0
10377,13144986,,1/6/2021,1/6/2021,0,0
10378,12467369,,1/6/2021,1/6/2021,0,0
10379,17188585,,1/6/2021,1/6/2021,1,0
10380,18969820,,1/6/2021,1/6/2021,0,0
10381,18971352,,1/6/2021,1/6/2021,0,0
10382,13972266,,1/6/2021,1/6/2021,0,0
10383,13984375,,1/6/2021,1/6/2021,0,1
10384,4562463,,1/6/2021,1/6/2021,0,0
10385,15722045,,1/6/2021,1/6/2021,0,0
10386,18946514,,1/6/2021,1/6/2021,1,0
10387,18972715,,1/6/2021,1/6/2021,0,0
10388,14770677,,1/6/2021,1/6/2021,0,0
10389,18943036,,1/6/2021,1/6/2021,0,0
10390,18938035,,1/6/2021,1/6/2021,0,0
10391,17780843,,1/7/2021,1/7/2021,0,0
10392,18974836,,1/7/2021,1/7/2021,0,0
10393,16016109,,1/7/2021,1/7/2021,0,0
10394,18486343,,1/7/2021,1/7/2021,0,0
10395,13312912,,1/7/2021,2/2/2021,0,1
10396,18965429,,1/7/2021,1/7/2021,0,0
10397,15121940,,1/7/2021,1/17/2021,0,0
10398,18638081,,1/7/2021,1/7/2021,0,0
10399,17611952,,1/7/2021,1/7/2021,1,0
10400,4750262,,1/7/2021,1/7/2021,0,0
10401,18976331,,1/7/2021,1/7/2021,0,0
10402,18855820,,1/7/2021,1/7/2021,0,0
10403,12844886,,1/7/2021,1/7/2021,0,0
10404,15160280,,1/7/2021,1/7/2021,0,1
10405,18963751,,1/7/2021,1/7/2021,1,0
10406,18885182,,1/7/2021,1/7/2021,0,0
10407,18977439,,1/7/2021,1/7/2021,0,0
10408,4585052,,1/7/2021,1/7/2021,0,0
10409,18387002,,1/7/2021,1/7/2021,0,1
10410,15377317,,1/7/2021,1/7/2021,0,0
10411,18795343,,1/7/2021,1/7/2021,0,0
10412,4051765,,1/7/2021,1/8/2021,0,0
10413,18943376,,1/7/2021,1/7/2021,0,0
10414,18958541,,1/7/2021,1/7/2021,1,0
10415,18970586,,1/7/2021,1/7/2021,0,0
10416,2497973,,1/7/2021,1/7/2021,0,0
10417,18979520,,1/7/2021,1/7/2021,1,0
10418,18673794,,1/7/2021,1/7/2021,0,0
10419,18977073,,1/7/2021,1/7/2021,0,0
10420,2463874,,1/7/2021,1/7/2021,0,0
10421,18307926,,1/7/2021,1/7/2021,1,0
10422,17887911,,1/7/2021,1/7/2021,1,0
10423,12439070,,1/7/2021,1/7/2021,1,1
10424,18964967,,1/7/2021,1/7/2021,1,1
10425,16652230,,1/7/2021,1/7/2021,0,0
10426,1298754,,1/7/2021,1/9/2021,1,0
10427,11575995,,1/7/2021,1/7/2021,1,0
10428,18979438,,1/7/2021,1/7/2021,0,0
10429,18509272,,1/7/2021,1/7/2021,1,0
10430,15541773,,1/7/2021,1/7/2021,0,0
10431,17003242,,1/7/2021,1/7/2021,1,0
10432,5365816,,1/7/2021,1/7/2021,0,0
10433,10320899,,1/8/2021,1/8/2021,0,0
10434,18982014,,1/8/2021,1/8/2021,0,0
10435,18980622,,1/8/2021,1/8/2021,0,0
10436,18982603,,1/8/2021,1/8/2021,0,0
10437,1882163,,1/8/2021,1/8/2021,1,0
10438,13183929,,1/8/2021,1/8/2021,0,0
10439,18856927,,1/8/2021,1/8/2021,0,0
10440,12613933,,1/8/2021,1/8/2021,0,0
10441,18602498,,1/8/2021,1/8/2021,0,0
10442,18973200,,1/8/2021,1/8/2021,0,0
10443,18984587,,1/8/2021,1/8/2021,0,0
10444,18711261,,1/8/2021,1/8/2021,1,0
10445,9933855,,1/8/2021,1/8/2021,0,0
10446,18984705,,1/8/2021,1/8/2021,0,0
10447,11630382,,1/8/2021,1/8/2021,1,0
10448,17956340,,1/8/2021,1/8/2021,0,0
10449,13093651,,1/8/2021,1/8/2021,0,0
10450,18970114,,1/8/2021,1/8/2021,0,0
10451,9528032,,1/8/2021,1/8/2021,0,0
10452,13167533,,1/8/2021,1/8/2021,0,0
10453,10232759,,1/8/2021,1/8/2021,0,0
10454,18986580,,1/8/2021,1/8/2021,0,0
10455,16873247,,1/8/2021,1/8/2021,1,1
10456,9411401,,1/8/2021,1/8/2021,0,0
10457,18988673,,1/8/2021,1/8/2021,1,0
10458,11144285,,1/8/2021,1/8/2021,0,0
10459,18989776,,1/8/2021,1/8/2021,0,0
10460,15997761,,1/8/2021,1/8/2021,0,0
10461,12533967,,1/9/2021,1/9/2021,1,0
10462,15951475,,1/9/2021,1/9/2021,0,0
10463,18004726,,1/9/2021,1/9/2021,0,0
10464,18991226,,1/9/2021,1/9/2021,1,0
10465,4435364,,1/9/2021,1/9/2021,0,0
10466,13226277,,1/9/2021,1/9/2021,0,1
10467,18991702,,1/9/2021,1/9/2021,0,0
10468,3931365,,1/9/2021,1/21/2021,1,1
10469,18983682,,1/9/2021,1/9/2021,0,0
10470,1041543,,1/9/2021,1/9/2021,0,0
10471,3178333,,1/9/2021,1/9/2021,0,0
10472,18993055,,1/9/2021,1/9/2021,0,0
10473,18993830,,1/9/2021,1/9/2021,1,1
10474,18994124,,1/9/2021,1/9/2021,0,0
10475,16023375,,1/9/2021,1/9/2021,0,0
10476,18987821,,1/9/2021,1/9/2021,0,0
10477,9673244,,1/9/2021,1/9/2021,0,0
10478,18995530,,1/9/2021,1/9/2021,0,0
10479,11384891,,1/9/2021,1/9/2021,0,0
10480,18996216,,1/9/2021,1/9/2021,0,0
10481,319292,,1/9/2021,1/9/2021,0,0
10482,17045389,,1/10/2021,1/10/2021,0,0
10483,18997794,,1/10/2021,1/10/2021,0,0
10484,12362080,,1/10/2021,1/10/2021,0,0
10485,18981358,,1/10/2021,1/10/2021,0,0
10486,18906594,,1/10/2021,1/10/2021,0,0
10487,2622423,,1/10/2021,1/10/2021,0,0
10488,16809302,,1/10/2021,1/10/2021,1,1
10489,19000163,,1/10/2021,1/10/2021,0,0
10490,19000637,,1/10/2021,1/10/2021,0,0
10491,17004236,,1/10/2021,1/10/2021,0,0
10492,19001033,,1/10/2021,1/10/2021,1,0
10493,15730390,,1/10/2021,1/10/2021,0,0
10494,9630999,,1/10/2021,1/10/2021,1,0
10495,18814090,,1/10/2021,1/14/2021,1,0
10496,18887626,,1/10/2021,1/10/2021,1,1
10497,18996558,,1/10/2021,1/10/2021,1,0
10498,18152871,,1/10/2021,1/10/2021,0,0
10499,10265055,,1/10/2021,1/10/2021,0,0
10500,19004418,,1/11/2021,1/11/2021,0,0
10501,18771003,,1/11/2021,1/11/2021,0,0
10502,12186194,,1/11/2021,1/11/2021,0,0
10503,18585694,,1/11/2021,1/11/2021,0,0
10504,4337917,,1/11/2021,1/11/2021,0,0
10505,18984869,,1/11/2021,1/23/2021,0,0
10506,16153970,,1/11/2021,1/13/2021,1,0
10507,18994091,,1/11/2021,1/11/2021,0,0
10508,1691584,,1/11/2021,1/11/2021,0,0
10509,19006305,,1/11/2021,1/11/2021,0,0
10510,10447330,,1/11/2021,1/11/2021,0,0
10511,12043890,,1/11/2021,1/11/2021,1,1
10512,16763441,,1/11/2021,1/11/2021,0,0
10513,15508451,,1/11/2021,1/11/2021,0,0
10514,19007389,,1/11/2021,1/11/2021,0,0
10515,19001286,,1/11/2021,1/11/2021,0,0
10516,12721432,,1/11/2021,1/11/2021,1,0
10517,18858911,,1/11/2021,1/11/2021,0,0
10518,17938605,,1/11/2021,1/11/2021,0,0
10519,18906973,,1/11/2021,1/11/2021,0,0
10520,12076080,,1/11/2021,1/11/2021,1,0
10521,19008638,,1/11/2021,1/11/2021,0,0
10522,19004348,,1/11/2021,1/11/2021,0,0
10523,18905486,,1/11/2021,1/11/2021,1,0
10524,10341093,,1/11/2021,1/11/2021,1,0
10525,18436211,,1/11/2021,1/11/2021,0,0
10526,18830938,,1/11/2021,1/11/2021,0,0
10527,14360599,,1/11/2021,1/11/2021,0,0
10528,11611638,,1/11/2021,1/11/2021,1,0
10529,5124899,,1/12/2021,1/12/2021,0,0
10530,17190621,,1/12/2021,1/12/2021,0,0
10531,17842100,,1/12/2021,1/12/2021,1,0
10532,19013118,,1/12/2021,1/12/2021,1,0
10533,10039482,,1/12/2021,1/12/2021,0,0
10534,19013252,,1/12/2021,1/12/2021,0,0
10535,18816650,,1/12/2021,1/12/2021,0,0
10536,19012523,,1/12/2021,1/12/2021,0,0
10537,19014561,,1/12/2021,1/12/2021,0,0
10538,19010657,,1/12/2021,1/12/2021,0,0
10539,13408448,,1/12/2021,1/12/2021,0,0
10540,17232066,,1/12/2021,1/12/2021,1,0
10541,16075297,,1/12/2021,1/12/2021,0,0
10542,18583350,,1/12/2021,1/12/2021,0,0
10543,13103617,,1/12/2021,1/12/2021,0,0
10544,18221353,,1/12/2021,1/15/2021,0,0
10545,19006744,,1/12/2021,1/12/2021,0,0
10546,19015409,,1/12/2021,1/23/2021,0,0
10547,19015921,,1/12/2021,1/12/2021,1,0
10548,2327865,,1/12/2021,1/12/2021,0,0
10549,19014492,,1/12/2021,1/12/2021,0,0
10550,16056771,,1/12/2021,1/12/2021,0,0
10551,19017235,,1/12/2021,1/12/2021,0,0
10552,9273775,,1/12/2021,1/12/2021,1,1
10553,3422812,,1/12/2021,1/12/2021,0,0
10554,2522294,,1/12/2021,1/12/2021,0,0
10555,19018186,,1/12/2021,1/12/2021,0,0
10556,13460442,,1/12/2021,1/12/2021,0,0
10557,19010802,,1/12/2021,1/12/2021,0,0
10558,17392001,,1/12/2021,1/12/2021,1,0
10559,18327766,,1/12/2021,1/12/2021,0,0
10560,18826996,,1/12/2021,1/12/2021,1,0
10561,9110558,,1/12/2021,1/12/2021,0,0
10562,17254924,,1/12/2021,1/12/2021,0,1
10563,19019394,,1/12/2021,1/12/2021,0,0
10564,18142606,,1/13/2021,1/13/2021,0,0
10565,19019996,,1/13/2021,1/13/2021,0,0
10566,18988344,,1/13/2021,1/13/2021,1,0
10567,17750853,,1/13/2021,1/13/2021,0,0
10568,15682529,,1/13/2021,1/13/2021,0,0
